Total steps,Calories,Min Light Active,Min Fair Active,Min Very Active
9043,2141,244,12,4
8144,2129,247,17,4
9343,2216,268,20,14
8405,2154,257,4,15
8223,2178,257,37,12
10067,2308,313,39,5
8359,2201,311,14,3
10946,2341,308,51,8
9130,2236,304,11,7
6544,2069,276,6,4
0,0,0,0,0
7753,2115,0,0,0
8204,2135,96,15,8
10210,2302,339,9,1
5664,1985,228,0,0
4744,1884,194,0,0
29,1464,3,0,0
2276,1632,58,9,1
8925,2200,311,0,0
8954,2220,306,18,0
3702,1792,34,0,0
4500,1886,176,19,1
4935,1945,233,0,0
4081,1880,191,5,1
9259,2314,390,8,0
9899,2236,288,21,8
10780,2324,300,47,6
10817,2367,359,8,13
7990,2175,289,18,6
8221,2092,196,38,6
1251,1593,67,0,0
9261,2270,344,11,0
9648,2235,287,26,8
10429,2282,313,13,8
13658,2530,328,34,27
9524,2266,314,11,6
7937,2158,279,28,3
3672,1792,153,0,0
10378,2345,374,14,2
9487,2260,329,12,3
10122,2955,0,0,0
10993,3092,150,14,1
8863,2998,219,35,10
8758,3066,299,0,0
6580,3073,253,9,6
4660,2572,201,0,0
11009,3274,239,8,27
10181,3015,249,16,20
10553,3083,228,42,19
10055,3069,272,12,7
12139,3544,220,25,77
13236,3306,215,5,58
10243,2885,239,8,14
12961,3288,301,31,11
9461,2929,224,23,14
11193,3074,241,48,11
10074,2969,234,9,19
9232,2979,236,16,13
12533,3283,300,43,14
10255,2926,241,15,12
10096,3147,204,4,33
12727,3290,306,18,18
12375,3162,251,21,35
9603,2899,199,39,12
13175,3425,262,45,33
22770,4022,260,56,120
17298,3934,178,38,107
10218,3013,258,19,6
10299,3061,267,14,13
3369,1623,108,0,0
2303,2010,155,0,0
2600,2032,163,0,0
4804,2227,238,0,0
3271,2133,205,0,0
5406,2317,273,0,0
3146,2058,171,0,0
2422,1935,110,0,0
4239,2217,235,6,1
6911,2374,215,2,28
6667,2335,208,1,24
5543,2303,266,0,0
4195,2210,239,0,0
6625,2424,316,0,0
5986,2297,195,5,23
278,745,20,0,0
3276,2113,196,0,0
2961,2095,194,0,0
3974,2194,231,0,0
7198,2496,350,0,0
3945,2180,225,0,0
2268,1933,114,0,0
6155,2248,162,6,25
2064,1954,121,0,0
2072,1974,137,0,0
3809,2150,215,0,0
6831,2432,317,0,0
4363,2149,201,0,0
5002,2247,244,0,0
3385,2070,179,0,0
6326,2291,180,1,29
7243,2361,194,1,32
4493,2203,236,0,0
4676,2196,226,0,0
6222,2363,290,0,0
5232,2246,240,0,0
6910,2336,200,4,27
7502,2421,233,2,30
2923,2070,180,0,0
3800,2120,185,6,2
4514,2211,229,0,0
5183,2123,108,4,26
7303,2423,308,8,0
5275,2281,266,0,0
3915,2181,231,0,0
9105,2499,232,22,34
768,1212,58,0,0
5336,1902,258,0,0
3183,1680,173,0,0
6176,1901,269,7,1
8205,2078,367,0,0
6799,1876,185,14,24
5668,1853,259,0,0
7998,2235,296,12,27
4195,1778,241,0,0
5512,1882,276,0,0
6263,1906,290,0,0
8828,2149,308,0,0
1260,722,76,0,0
5135,1909,318,0,0
4978,1722,127,7,19
6799,1922,279,0,0
7795,2121,262,30,17
7289,1997,308,12,8
9634,2117,304,19,7
8940,2116,331,15,14
5401,1876,248,9,1
4803,1788,222,0,0
13743,2486,432,21,6
9601,2094,273,25,20
6890,2085,308,5,5
8563,2173,395,0,0
8095,2225,340,10,18
9148,2223,283,41,12
9557,2098,312,14,27
9451,2185,367,11,1
7833,1918,197,29,15
10319,2105,293,29,7
3428,1692,190,0,0
7891,2066,383,0,0
5267,1953,237,10,21
5232,1842,252,0,0
10611,2262,370,8,14
3755,1722,202,0,0
8237,1973,233,16,23
6543,2666,238,35,66
11451,2223,339,30,6
6435,1889,220,18,11
9108,2131,324,31,4
6307,1452,247,0,0
6506,2886,241,5,4
7583,2915,227,13,3
6963,2895,256,0,0
7165,2923,248,9,0
10328,3323,367,32,0
12116,3357,323,57,3
7810,2931,216,27,6
6670,2848,199,16,15
7605,2943,248,4,4
6585,2822,210,0,0
8184,2981,247,15,0
14002,3597,381,56,8
11135,3224,331,25,1
6499,2677,207,0,0
7213,2947,263,0,0
